SKU Mappings:
SKU_165: 330
SKU_166: 332
SKU_167: 334
SKU_168: 336
SKU_169: 338
SKU_170: 340
SKU_171: 342
SKU_172: 344
SKU_173: 346
SKU_174: 348
SKU_175: 350
SKU_176: 352
SKU_177: 354
SKU_178: 356
SKU_179: 358
SKU_180: 360
SKU_181: 362
SKU_182: 364
SKU_183: 366
SKU_184: 368
SKU_185: 370
SKU_186: 372
SKU_187: 374
SKU_188: 376
SKU_189: 378
SKU_190: 380
SKU_191: 382
SKU_192: 384
SKU_193: 386
SKU_194: 388
SKU_195: 390
SKU_196: 392
SKU_197: 394
SKU_198: 396
SKU_199: 398
SKU_200: 400
SKU_201: 402
SKU_202: 404
SKU_203: 406
SKU_204: 408
SKU_205: 410
SKU_206: 412
SKU_207: 414
SKU_208: 416
SKU_209: 418
SKU_210: 420
SKU_211: 422
SKU_212: 424
SKU_213: 426
SKU_214: 428
SKU_215: 430
SKU_216: 432
SKU_217: 434
SKU_218: 436
SKU_219: 438
SKU_220: 440
SKU_221: 442
SKU_222: 444
SKU_223: 446
SKU_224: 448
SKU_225: 450
SKU_226: 452
SKU_227: 454
SKU_228: 456
SKU_229: 458
SKU_230: 460
SKU_231: 462
SKU_232: 464
SKU_233: 466
SKU_234: 468
SKU_235: 470
SKU_236: 472
SKU_237: 474
SKU_238: 476
SKU_239: 478
SKU_240: 480
SKU_241: 482
SKU_242: 484
SKU_243: 486
SKU_244: 488
SKU_245: 490
SKU_246: 492
SKU_247: 494
SKU_248: 496
SKU_249: 498
SKU_250: 500
SKU_251: 502
SKU_252: 504
SKU_253: 506
SKU_254: 508
SKU_255: 510
SKU_256: 512
SKU_257: 514
SKU_258: 516
SKU_259: 518
SKU_260: 520
SKU_261: 522
SKU_262: 524
SKU_263: 526
SKU_264: 528
SKU_265: 530
SKU_266: 532
SKU_267: 534
SKU_268: 536
SKU_269: 538
SKU_270: 540
SKU_271: 542
SKU_272: 544
SKU_273: 546
SKU_274: 548
SKU_275: 550
SKU_276: 552
SKU_277: 554
SKU_278: 556
SKU_279: 558
SKU_280: 560
SKU_281: 562
SKU_282: 564
SKU_283: 566
SKU_284: 568
SKU_285: 570
SKU_286: 572
SKU_287: 574
SKU_288: 576
SKU_289: 578
SKU_290: 580
SKU_291: 582
SKU_292: 584
SKU_293: 586
SKU_294: 588
SKU_295: 590
SKU_296: 592
SKU_297: 594
SKU_298: 596
SKU_299: 598
SKU_300: 600
SKU_301: 602
SKU_302: 604
SKU_303: 606
SKU_304: 608
SKU_305: 610
SKU_306: 612
SKU_307: 614
SKU_308: 616
SKU_309: 618
SKU_310: 620
SKU_311: 622
SKU_312: 624
SKU_313: 626
SKU_314: 628
SKU_315: 630
SKU_316: 632
SKU_317: 634
SKU_318: 636
SKU_319: 638
SKU_320: 640
SKU_321: 642
SKU_322: 644
SKU_323: 646
SKU_324: 648
SKU_325: 650
SKU_326: 652
SKU_327: 654
SKU_328: 656
SKU_329: 658
SKU_330: 660
SKU_331: 662
SKU_332: 664
SKU_333: 666
SKU_334: 668
SKU_335: 670
SKU_336: 672
SKU_337: 674
SKU_338: 676
SKU_339: 678
SKU_340: 680
SKU_341: 682
SKU_342: 684
SKU_343: 686
SKU_344: 688
SKU_345: 690
SKU_346: 692
SKU_347: 694
SKU_348: 696
SKU_349: 698
SKU_350: 700
SKU_351: 702
SKU_352: 704
SKU_353: 706
SKU_354: 708
SKU_355: 710
SKU_356: 712
SKU_357: 714
SKU_358: 716
SKU_359: 718
SKU_360: 720
SKU_361: 722
SKU_362: 724
SKU_363: 726
SKU_364: 728
SKU_365: 730
SKU_366: 732
SKU_367: 734
SKU_368: 736
SKU_369: 738
SKU_370: 740
SKU_371: 742
SKU_372: 744
SKU_373: 746
SKU_374: 748
SKU_375: 750
SKU_376: 752
SKU_377: 754
SKU_378: 756
SKU_379: 758
SKU_380: 760
SKU_381: 762
SKU_382: 764
SKU_383: 766
SKU_384: 768
SKU_385: 770
SKU_386: 772
SKU_387: 774
SKU_388: 776
SKU_389: 778
SKU_390: 780
SKU_391: 782
SKU_392: 784
SKU_393: 786
SKU_394: 788
SKU_395: 790
SKU_396: 792
SKU_397: 794
SKU_398: 796
SKU_399: 798
SKU_400: 800
SKU_401: 802
SKU_402: 804
SKU_403: 806
SKU_404: 808
SKU_405: 810
SKU_406: 812
SKU_407: 814
SKU_408: 816
SKU_409: 818
SKU_410: 820
SKU_411: 822
SKU_412: 824
SKU_413: 826
SKU_414: 828
SKU_415: 830
SKU_416: 832
SKU_417: 834
SKU_418: 836
SKU_419: 838
SKU_420: 840
SKU_421: 842
SKU_422: 844
SKU_423: 846
SKU_424: 848
SKU_425: 850
SKU_426: 852
SKU_427: 854
SKU_428: 856
SKU_429: 858
SKU_430: 860
SKU_431: 862
SKU_432: 864
SKU_433: 866
SKU_434: 868
SKU_435: 870
SKU_436: 872
SKU_437: 874
SKU_438: 876
SKU_439: 878
SKU_440: 880
SKU_441: 882
SKU_442: 884
SKU_443: 886
SKU_444: 888
SKU_445: 890
SKU_446: 892
SKU_447: 894
SKU_448: 896
SKU_449: 898
SKU_450: 900
SKU_451: 902
SKU_452: 904
SKU_453: 906
SKU_454: 908
SKU_455: 910
SKU_456: 912
SKU_457: 914
SKU_458: 916
SKU_459: 918
SKU_460: 920
SKU_461: 922
SKU_462: 924
SKU_463: 926
SKU_464: 928
SKU_465: 930
SKU_466: 932
SKU_467: 934
SKU_468: 936
SKU_469: 938
SKU_470: 940
SKU_471: 942
SKU_472: 944
SKU_473: 946
SKU_474: 948
SKU_475: 950
SKU_476: 952
SKU_477: 954
SKU_478: 956
SKU_479: 958
SKU_480: 960
SKU_481: 962
SKU_482: 964
SKU_483: 966
SKU_484: 968
SKU_485: 970
SKU_486: 972
SKU_487: 974
SKU_488: 976
SKU_489: 978
SKU_490: 980
SKU_491: 982
SKU_492: 984
SKU_493: 986
SKU_494: 988
SKU_495: 990
SKU_496: 992
SKU_497: 994
SKU_498: 996
SKU_499: 998

DC Mappings:
DC_0: 1
DC_1: 3
DC_2: 5
DC_3: 7
DC_4: 9
DC_5: 11
DC_6: 13
DC_7: 15
DC_8: 17
DC_9: 19
DC_10: 21
DC_11: 23
DC_12: 25
DC_13: 27
DC_14: 29
DC_15: 31
DC_16: 33
DC_17: 35
DC_18: 37
DC_19: 39
DC_20: 41
DC_21: 43
DC_22: 45
DC_23: 47
DC_24: 49
DC_25: 51
DC_26: 53
DC_27: 55
DC_28: 57
DC_29: 59
DC_30: 61
DC_31: 63
DC_32: 65
DC_33: 67
DC_34: 69
DC_35: 71
DC_36: 73
DC_37: 75
DC_38: 77
DC_39: 79
DC_40: 81
DC_41: 83
DC_42: 85
DC_43: 87
DC_44: 89
DC_45: 91
DC_46: 93
DC_47: 95
DC_48: 97
DC_49: 99
DC_50: 101
DC_51: 103
DC_52: 105
DC_53: 107
DC_54: 109
DC_55: 111
DC_56: 113
DC_57: 115
DC_58: 117
DC_59: 119
DC_60: 121
DC_61: 123
DC_62: 125
DC_63: 127
DC_64: 129
DC_65: 131
DC_66: 133
DC_67: 135
DC_68: 137
DC_69: 139
DC_70: 141
DC_71: 143
DC_72: 145
DC_73: 147
DC_74: 149
DC_75: 151
DC_76: 153
DC_77: 155
DC_78: 157
DC_79: 159
DC_80: 161
DC_81: 163
DC_82: 165
DC_83: 167
DC_84: 169
DC_85: 171
DC_86: 173
DC_87: 175
DC_88: 177
DC_89: 179
DC_90: 181
DC_91: 183
DC_92: 185
DC_93: 187
DC_94: 189
DC_95: 191
DC_96: 193
DC_97: 195
DC_98: 197
DC_99: 199
DC_100: 201
DC_101: 203
DC_102: 205
DC_103: 207
DC_104: 209
DC_105: 211
DC_106: 213
DC_107: 215
DC_108: 217
DC_109: 219
DC_110: 221
DC_111: 223
DC_112: 225
DC_113: 227
DC_114: 229
DC_115: 231
DC_116: 233
DC_117: 235
DC_118: 237
DC_119: 239
DC_120: 241
DC_121: 243
DC_122: 245
DC_123: 247
DC_124: 249
DC_125: 251
DC_126: 253
DC_127: 255
DC_128: 257
DC_129: 259
DC_130: 261
DC_131: 263
DC_132: 265
DC_133: 267
DC_134: 269
DC_135: 271
DC_136: 273
DC_137: 275
DC_138: 277
DC_139: 279
DC_140: 281
DC_141: 283
DC_142: 285
DC_143: 287
DC_144: 289
DC_145: 291
DC_146: 293
DC_147: 295
DC_148: 297
DC_149: 299
DC_150: 301
DC_151: 303
DC_152: 305
DC_153: 307
DC_154: 309
DC_155: 311
DC_156: 313
DC_157: 315
DC_158: 317
DC_159: 319
DC_160: 321
DC_161: 323
DC_162: 325
DC_163: 327
DC_164: 329
DC_165: 331
DC_166: 333
DC_167: 335
DC_168: 337
DC_169: 339
DC_170: 341
DC_171: 343
DC_172: 345
DC_173: 347
DC_174: 349
DC_175: 351
DC_176: 353
DC_177: 355
DC_178: 357
DC_179: 359
DC_180: 361
DC_181: 363
DC_182: 365
DC_183: 367
DC_184: 369
DC_185: 371
DC_186: 373
DC_187: 375
DC_188: 377
DC_189: 379
DC_190: 381
DC_191: 383
DC_192: 385
DC_193: 387
DC_194: 389
DC_195: 391
DC_196: 393
DC_197: 395
DC_198: 397
DC_199: 399
DC_200: 401
DC_201: 403
DC_202: 405
DC_203: 407
DC_204: 409
DC_205: 411
DC_206: 413
DC_207: 415
DC_208: 417
DC_209: 419
DC_210: 421
DC_211: 423
DC_212: 425
DC_213: 427
DC_214: 429
DC_215: 431
DC_216: 433
DC_217: 435
DC_218: 437
DC_219: 439
DC_220: 441
DC_221: 443
DC_222: 445
DC_223: 447
DC_224: 449
DC_225: 451
DC_226: 453
DC_227: 455
DC_228: 457
DC_229: 459
DC_230: 461
DC_231: 463
DC_232: 465
DC_233: 467
DC_234: 469
DC_235: 471
DC_236: 473
DC_237: 475
DC_238: 477
DC_239: 479
DC_240: 481
DC_241: 483
DC_242: 485
DC_243: 487
DC_244: 489
DC_245: 491
DC_246: 493
DC_247: 495
DC_248: 497
DC_249: 499
DC_250: 501
DC_251: 503
DC_252: 505
DC_253: 507
DC_254: 509
DC_255: 511
DC_256: 513
DC_257: 515
DC_258: 517
DC_259: 519
DC_260: 521
DC_261: 523
DC_262: 525
DC_263: 527
DC_264: 529
DC_265: 531
DC_266: 533
DC_267: 535
DC_268: 537
DC_269: 539
DC_270: 541
DC_271: 543
DC_272: 545
DC_273: 547
DC_274: 549
DC_275: 551
DC_276: 553
DC_277: 555
DC_278: 557
DC_279: 559
DC_280: 561
DC_281: 563
DC_282: 565
DC_283: 567
DC_284: 569
DC_285: 571
DC_286: 573
DC_287: 575
DC_288: 577
DC_289: 579
DC_290: 581
DC_291: 583
DC_292: 585
DC_293: 587
DC_294: 589
DC_295: 591
DC_296: 593
DC_297: 595
DC_298: 597
DC_299: 599
DC_300: 601
DC_301: 603
DC_302: 605
DC_303: 607
DC_304: 609
DC_305: 611
DC_306: 613
DC_307: 615
DC_308: 617
DC_309: 619
DC_310: 621
DC_311: 623
DC_312: 625
DC_313: 627
DC_314: 629
DC_315: 631
DC_316: 633
DC_317: 635
DC_318: 637
DC_319: 639
DC_320: 641
DC_321: 643
DC_322: 645
DC_323: 647
DC_324: 649
DC_325: 651
DC_326: 653
DC_327: 655
DC_328: 657
DC_329: 659
DC_330: 661
DC_331: 663
DC_332: 665
DC_333: 667
DC_334: 669
DC_335: 671
DC_336: 673
DC_337: 675
DC_338: 677
DC_339: 679
DC_340: 681
DC_341: 683
DC_342: 685
DC_343: 687
DC_344: 689
DC_345: 691
DC_346: 693
DC_347: 695
DC_348: 697
DC_349: 699
DC_350: 701
DC_351: 703
DC_352: 705
DC_353: 707
DC_354: 709
DC_355: 711
DC_356: 713
DC_357: 715
DC_358: 717
DC_359: 719
DC_360: 721
DC_361: 723
DC_362: 725
DC_363: 727
DC_364: 729
DC_365: 731
DC_366: 733
DC_367: 735
DC_368: 737
DC_369: 739
DC_370: 741
DC_371: 743
DC_372: 745
DC_373: 747
DC_374: 749
DC_375: 751
DC_376: 753
DC_377: 755
DC_378: 757
DC_379: 759
DC_380: 761
DC_381: 763
DC_382: 765
DC_383: 767
DC_384: 769
DC_385: 771
DC_386: 773
DC_387: 775
DC_388: 777
DC_389: 779
DC_390: 781
DC_391: 783
DC_392: 785
DC_393: 787
DC_394: 789
DC_395: 791
DC_396: 793
DC_397: 795
DC_398: 797
DC_399: 799
DC_400: 801
DC_401: 803
DC_402: 805
DC_403: 807
DC_404: 809
DC_405: 811
DC_406: 813
DC_407: 815
DC_408: 817
DC_409: 819
DC_410: 821
DC_411: 823
DC_412: 825
DC_413: 827
DC_414: 829
DC_415: 831
DC_416: 833
DC_417: 835
DC_418: 837
DC_419: 839
DC_420: 841
DC_421: 843
DC_422: 845
DC_423: 847
DC_424: 849
DC_425: 851
DC_426: 853
DC_427: 855
DC_428: 857
DC_429: 859
DC_430: 861
DC_431: 863
DC_432: 865
DC_433: 867
DC_434: 869
DC_435: 871
DC_436: 873
DC_437: 875
DC_438: 877
DC_439: 879
DC_440: 881
DC_441: 883
DC_442: 885
DC_443: 887
DC_444: 889
DC_445: 891
DC_446: 893
DC_447: 895
DC_448: 897
DC_449: 899
DC_450: 901
DC_451: 903
DC_452: 905
DC_453: 907
DC_454: 909
DC_455: 911
DC_456: 913
DC_457: 915
DC_458: 917
DC_459: 919
DC_460: 921
DC_461: 923
DC_462: 925
DC_463: 927
DC_464: 929
DC_465: 931
DC_466: 933
DC_467: 935
DC_468: 937
DC_469: 939
DC_470: 941
DC_471: 943
DC_472: 945
DC_473: 947
DC_474: 949
DC_475: 951
DC_476: 953
DC_477: 955
DC_478: 957
DC_479: 959
DC_480: 961
DC_481: 963
DC_482: 965
DC_483: 967
DC_484: 969
DC_485: 971
DC_486: 973
DC_487: 975
DC_488: 977
DC_489: 979
DC_490: 981
DC_491: 983
DC_492: 985
DC_493: 987
DC_494: 989
DC_495: 991
DC_496: 993
DC_497: 995
DC_498: 997
DC_499: 999

Relation Mappings:
order: 0
inventory: 1
demand: 2
